timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659195000,Jul 30 2022 - 3:30pm,complete,N/A,Gyirmót,Szentlőrinc SE,N/A,1,0.00,0.00,1.00,0.71,4,0,4,3,3,0,"7,22,29,52","",7,4,-1,-1,-1,-1,-1,-1,-1,-1,23,11,9,5,14,6,-1,-1,57,43,2.75,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.80,5.50,1.27,1.90,3.08,5.55,1.88,1.82,Alcufer Stadion
1659281400,Jul 31 2022 - 3:30pm,complete,N/A,Tiszakécske,MTE 1904,N/A,1,0.00,0.00,1.50,1.25,1,0,1,0,0,0,"84","",4,3,-1,-1,-1,-1,-1,-1,-1,-1,11,7,3,3,8,4,-1,-1,55,45,1.29,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.60,3.60,1.31,2.05,3.50,7.00,1.85,1.85,N/A
1659281400,Jul 31 2022 - 3:30pm,complete,N/A,Soroksár SC,Kozármisleny,N/A,1,0.00,0.00,1.88,0.50,3,1,4,1,1,0,"45,56,75","51",5,8,-1,-1,-1,-1,-1,-1,-1,-1,11,6,5,3,6,3,-1,-1,40,60,1.51,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.60,3.30,1.31,2.00,3.40,6.50,1.72,2.00,Szamosi Mihály Sporttelep
1659281400,Jul 31 2022 - 3:30pm,complete,N/A,Szombathelyi Haladás,Csákvári TK,N/A,1,0.00,0.00,1.88,1.00,1,1,2,1,0,1,"90'2","3",8,3,-1,-1,-1,-1,-1,-1,-1,-1,10,6,6,3,4,3,-1,-1,63,37,1.63,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.40,3.50,1.33,2.30,3.55,6.55,1.88,1.82,Haladás Stadion
1659286800,Jul 31 2022 - 5:00pm,complete,N/A,Kazincbarcika,Dorogi,N/A,1,0.00,0.00,2.00,0.63,2,0,2,2,2,0,"32,41","",3,5,-1,-1,-1,-1,-1,-1,-1,-1,5,14,5,5,0,9,-1,-1,27,73,0.84,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.60,3.10,1.29,1.90,3.20,6.00,1.72,2.00,N/A
1659286800,Jul 31 2022 - 5:00pm,complete,N/A,Pécsi MFC,Békéscsaba,N/A,1,0.00,0.00,2.50,0.63,1,0,1,0,0,0,"72","",6,6,-1,-1,-1,-1,-1,-1,-1,-1,16,12,5,5,11,7,-1,-1,50,50,1.72,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.75,4.33,1.29,1.95,3.23,5.95,1.82,1.88,PMFC Stadion
1659286800,Jul 31 2022 - 5:00pm,complete,N/A,Ajka,Budafoki MTE,N/A,1,0.00,0.00,1.75,0.50,3,0,3,3,3,0,"16,35,43","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.75,4.33,1.29,2.10,3.25,6.00,1.82,1.88,N/A
1659286800,Jul 31 2022 - 5:00pm,complete,N/A,Siófok,Diósgyőr,N/A,1,0.00,0.00,1.88,1.71,1,0,1,1,1,0,"21","",3,8,-1,-1,-1,-1,-1,-1,-1,-1,10,16,4,6,6,10,-1,-1,48,52,1.13,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.50,2.10,1.33,2.25,3.50,6.50,1.93,1.83,Révész Géza utcai stadion
1659286800,Jul 31 2022 - 5:00pm,complete,N/A,Győri ETO,Nyíregyháza Spartacus,N/A,1,0.00,0.00,1.63,0.57,1,0,1,1,1,0,"20","",6,5,-1,-1,-1,-1,-1,-1,-1,-1,15,11,6,4,9,7,-1,-1,50,50,1.96,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,4.00,5.00,1.30,1.90,3.27,6.05,1.85,1.85,ETO Park
1659376800,Aug 01 2022 - 6:00pm,complete,N/A,MTK,Szeged 2011,N/A,1,0.00,0.00,2.00,1.67,2,1,3,1,0,1,"61,67","34",14,6,-1,-1,-1,-1,-1,-1,-1,-1,8,2,4,2,4,0,-1,-1,58,42,1.52,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,4.50,5.50,1.22,1.50,2.75,4.85,1.65,2.10,Hidegkuti Nándor Stadion
